game_name,description,team_size,times_played,tournament_bracket_style,tie_breaker_eligible,approved
Badminton (pairs),,2,1,TRUE,FALSE,TRUE
Basketball (Horse),,1,0,FALSE,TRUE,TRUE
Basketball (Lightning),,1,1,FALSE,FALSE,TRUE
Bocce ball,,2,0,TRUE,TRUE,TRUE
Catchphrase (the game),,5,0,FALSE,FALSE,TRUE
Charades,,5,0,FALSE,FALSE,TRUE
Christmas carol pictionary,,5,0,FALSE,FALSE,TRUE
Cornhole,,2,1,TRUE,TRUE,TRUE
Fastest present wrapping,,1,0,FALSE,TRUE,TRUE
Four square,,1,0,FALSE,FALSE,TRUE
Horseshoes,,2,0,TRUE,TRUE,TRUE
Kubb,,2,0,TRUE,TRUE,TRUE
Living room mini golf,,1,0,TRUE,TRUE,TRUE
Memory match,,1,0,FALSE,TRUE,TRUE
Musical chairs,,1,0,FALSE,FALSE,TRUE
Nerf target shooting,,2,1,FALSE,TRUE,TRUE
Nerf war,,5,0,FALSE,TRUE,TRUE
Paper Airplane Throwdown,,1,0,FALSE,TRUE,TRUE
Planks,,1,1,FALSE,TRUE,TRUE
Puzzle Speed Challenge,,2,2,FALSE,TRUE,TRUE
Scattergories on paper (aka Guggenheim),,1,0,FALSE,FALSE,TRUE
Three-legged race,,2,0,TRUE,FALSE,TRUE
Volleyball (pairs),,2,0,TRUE,FALSE,TRUE
Volleyball (half-and-half),,5,0,FALSE,FALSE,TRUE
Wall Sit Competition,,1,1,FALSE,TRUE,TRUE
Water Chug,,1,0,FALSE,TRUE,TRUE
